R637	:EX_acmpglut_b
R638	:EX_allop_b
R639	:EX_am19cs_b
R640	:EX_am1a4ncs_b
R641	:EX_am1accs_b
R642	:EX_am1acs_b
R643	:EX_am1alcs_b
R644	:EX_am1c4n9cs_b
R645	:EX_am1c9cs_b
R646	:EX_am1ccs_b
R647	:EX_am1cglc_b
R648	:EX_am1csa_b
R649	:EX_am4n9cs_b
R650	:EX_am4ncs_b
R651	:EX_am9csa_b
R652	:EX_atvacid_b
R653	:EX_atvlac_b
R654	:EX_caribup_R_b
R655	:EX_caribup_s_b
R656	:EX_caribupglu_S_b
R657	:EX_crglz_b
R658	:EX_crvs_b
R659	:EX_crvsm1_b
R660	:EX_crvsm23_b
R661	:EX_crvsm24_b
R662	:EX_csa_b
R663	:EX_csasulp_b
R664	:EX_cysacmp_b
R665	:EX_deoxfvs_b
R666	:EX_desfvs_b
R667	:EX_dhglz_b
R668	:EX_dspvs_b
R669	:EX_epoxtac_b
R670	:EX_fvs_b
R671	:EX_fvstet_b
R672	:EX_fvstetglu_b
R673	:EX_glc3meacp_b
R674	:EX_glz_b
R675	:EX_gtacmp_b
R676	:EX_ibup_R_b
R677	:EX_ibup_S_b
R678	:EX_ibupgluc_b
R679	:EX_isolvstacid_b
R680	:EX_lst4exp_b
R681	:EX_lstn_b
R682	:EX_lstn1gluc_b
R683	:EX_lstnm1_b
R684	:EX_lstnm2_b
R685	:EX_lstnm4_b
R686	:EX_lstnm5_b
R687	:EX_lstnm7_b
R688	:EX_lvst_b
R689	:EX_mdz_b
R690	:EX_mdzglc_b
R691	:EX_meracmp_b
R692	:EX_mhglz_b
R693	:EX_ndersv_b
R694	:EX_nfd_b
R695	:EX_nfdac_b
R696	:EX_nfdlac_b
R697	:EX_nfdnpy_b
R698	:EX_nfdoh_b
R699	:EX_oxyp_b
R700	:EX_oxy1rb_b
R701	:EX_oxy7rb_b
R702	:EX_profvs_b
R703	:EX_ptvst_b
R704	:EX_ptvstlac_b
R705	:EX_ptvstm3_b
R706	:EX_pvs_b
R707	:EX_pvsgluc_b
R708	:EX_rsv_b
R709	:EX_rsvlac_b
R710	:EX_s3meacmp_b
R711	:EX_smv_b
R712	:EX_smvacid_b
R713	:EX_stacmp_b
R714	:EX_sulpacmp_b
R715	:EX_tacr_b
R716	:EX_tauribup_S_b
R717	:EX_thrfvs_b
R718	:EX_tlacfvs_b
R719	:EX_tmd_b
R720	:EX_tmdm1_b
R721	:EX_tmdm3_b
R722	:EX_tmdm5_b
R723	:EX_tripvs_b
R724	:EX_tsacmgluc_b
R725	:EX_tsacmsul_b
R726	:EX_lvstacid_b
R727	:EX_ptvstm13_b
R728	:EX_hx_b
R729	:13DAMPPOX
R730	:1a_24_25VITD2Hm
R731	:1a_24_25VITD3Hm
R732	:1a_25VITD2Hm
R733	:1a_25VITD3Hm
R734	:1PPDCRp
R735	:24_25VITD2Hm
R736	:24_25VITD3Hm
R737	:25VITD2Hm
R738	:25VITD3Hm
R739	:2AMACHYD
R740	:2AMACSULT
R741	:2DR1PP
R742	:2HBO
R743	:2OXOADOXm
R744	:34DHOXPEGOX
R745	:34DHPHAMT
R746	:34DHPLACOX
R747	:34DHPLACOX_NADP_
R748	:34DHXMANDACOX
R749	:34DHXMANDACOX_NADP_
R750	:34HPLFM
R751	:34HPPOR
R752	:3AIBTm
R753	:3DPHBH1
R754	:3DPHBH2
R755	:3DSPHR
R756	:3HAO
R757	:3HBCDm
R758	:3HBCOAHLm
R759	:3HKYNAKGAT
R760	:3HLYTCL
R761	:3HPCOAHYD
R762	:3HPPD
R763	:3HXKYNDCL
R764	:3HXKYNOXDA
R765	:3M4HDXPAC
R766	:3MOX4HOXPGALDOX
R767	:3MOX4HOXPGALDOX_NADP_
R768	:3MOXTYROX
R769	:3NTD7l
R770	:3SALACBOXL
R771	:3SALAOX
R772	:3SALATAi
R773	:3SALATAim
R774	:3SPYRSP
R775	:3SPYRSPm
R776	:41R1H2MAE12BOOX
R777	:41R2A1H12BOOX
R778	:42A12BOOX
R779	:4HBZCOAFm
R780	:4HBZFm
R781	:4HGLSDm
