G1123	:HGNC:11425
G1124	:HGNC:10681
G1125	:HGNC:10682
G1126	:HGNC:10680
G1127	:HGNC:10683
G1128	:HGNC:11559
G1129	:HGNC:20324
G1130	:HGNC:8646
G1131	:HGNC:18987
G1132	:HGNC:30404
G1133	:HGNC:26160
G1134	:HGNC:11835
G1135	:HGNC:11834
G1136	:HGNC:25313
G1137	:HGNC:17358
G1138	:HGNC:3148
G1139	:HGNC:12441
G1140	:HGNC:18308
G1141	:HGNC:12009
G1142	:HGNC:38069
G1143	:HGNC:12437
G1144	:HGNC:20667
G1145	:HGNC:18155
G1146	:HGNC:12266
G1147	:HGNC:26210
G1148	:HGNC:12008
G1149	:HGNC:20692
G1150	:HGNC:11708
G1151	:HGNC:27269
G1152	:HGNC:11609
G1153	:HGNC:11782
G1154	:HGNC:12450
G1155	:HGNC:4116
G1156	:HGNC:12457
G1157	:HGNC:28082
G1158	:HGNC:20266
G1159	:HGNC:12525
G1160	:HGNC:17729
G1161	:HGNC:3357
G1162	:HGNC:6480
G1163	:HGNC:12524
